Date,24h Average,Ask,Bid,Last,Total Volume
2014-09-04,3.27,8.12,8.2,7.71,19444.28
2014-09-03,3.79,3.83,2.84,3.1199999999999,-16177.59
2014-09-02,-1.14,-1.91,-0.67000000000002,-1.42,3304.99
2014-09-01,-11.21,1.39,0.38,0.57999999999998,-50733.71
2014-08-31,-14.28,-20.7,-20.46,-20.37,60849.45
2014-08-30,-3.29,-7.82,-7.95,-7.28,-5421.93
2014-08-29,-3.6,1.33,1.37,0.64999999999998,-2203.61
2014-08-28,-3.5699999999999,-7.64,-7.21,-6.41,-1522.23
2014-08-27,7.27,5.4300000000001,5.1,4.95,-3001.9
2014-08-26,3.71,5.83,5.76,4.15,4199.47
2014-08-25,0.44,-7.21,-6.42,-5.63,1384.63
2014-08-24,-2.58,11.81,11.42,10.96,-5975.18
2014-08-23,-7.48,-18.18,-18.4,-17.75,-14983.11
2014-08-22,-5.72,-5.64,-5.59,-3.6899999999999,-6537.44
2014-08-21,32.99,13.87,13.25,12.65,2026.46
2014-08-20,15.88,29.07,29.87,28.92,5012.73
2014-08-19,-4.27,27.62,27.81,26.58,-29896.7
2014-08-18,-30.94,-37.03,-37.87,-37.4,47261.26
2014-08-17,6.17,-28.91,-27.93,-27.7,-1991.77
2014-08-16,-6.47,21.75,21.01,20.86,-9264.39
2014-08-15,-13.26,-8.61,-8.6799999999999,-8.89,-22165.63
2014-08-14,-34.32,-38.03,-37.67,-38.43,22095.66
2014-08-13,-17.47,-25.78,-26.01,-24.71,17493.73
2014-08-12,-14.74,-6.16,-5.77,-5.77,761.21
2014-08-11,-4.54,-14.74,-14.69,-14.83,9676.95
2014-08-10,1.02,0.26999999999998,-0.13,-0.5,-1375.24
2014-08-09,-2.17,-3.89,-3.5200000000001,-3.16,-2555.77
2014-08-08,6.15,3.67,3.2700000000001,5.04,-3637.03
2014-08-07,-0.97000000000003,4.7900000000001,4.74,2.87,3115.39
2014-08-06,0.35000000000002,-2.5,-2.72,-2.02,1449.01
2014-08-04,-5.15,-6.6800000000001,-6.12,-4.39,-8637.03
